page_view,user_id,attrs,purchased
675,0,0.6248270722178991,1
666,4,-0.2771726934370684,0
889,1,0.6684547066644297,1
377,9,0.28975172205376276,0
116,3,0.5008367128841328,0
752,0,0.7800052843323635,1
102,2,1.185200841037219,0
126,5,0.12424610402769187,1
375,0,0.14988298061271266,1
48,0,0.15883426463900996,1
20,9,0.46732052976519045,0
784,6,0.6658907716815952,1
194,3,-0.21141103211476642,1
996,0,0.8961837470827656,1
725,0,0.16240328776069712,1
541,0,0.5985425778751177,1
966,0,0.5700227062887936,1
499,8,0.3081061926618579,0
193,0,0.16488604073720092,1
950,0,0.41856861301210535,1
915,4,1.0344718684359537,0
266,0,-0.27468973416926745,1
0,0,0.9684780320482731,1
643,6,0.6007490283840776,0
830,5,0.5485592351876031,1
639,0,0.1740099472992171,1
473,9,0.13009588079746393,1
911,0,1.4080216059937012,1
726,0,-0.14836780279862227,1
918,0,0.6443128815546489,1
921,7,1.1252634188400632,1
891,0,0.6253583686367643,1
506,9,0.802669273570197,0
55,7,-0.05618588567980387,0
740,0,-0.02697383959752686,1
486,0,0.4147606377368598,1
581,7,0.7049589865546755,0
718,1,-0.038337670345706676,1
977,0,0.7172366529013763,1
944,3,1.06535290902725,1
173,0,0.4650527213754959,1
198,0,1.348638056113824,1
575,8,-0.395690768012099,1
429,0,0.7447689928494996,1
434,0,0.7857153100718963,1
870,0,0.3778392433553869,1
734,2,-0.4151426265580933,1
688,3,0.6631342239910917,1
807,6,-0.19198950474179144,1
887,0,0.2625176226038741,1
272,0,0.7102337346037715,1
106,0,-0.5915601732209621,1
608,0,0.6443464560536654,1
821,6,0.7426472845230299,0
247,0,0.9528429318018174,1
250,0,0.012027879640076733,1
9,6,0.23627800118508646,0
984,7,0.09954837412711554,1
44,0,0.7033037714988318,1
655,0,1.1323187224072837,1
677,4,0.3870500917494055,1
28,8,0.3590972440819437,0
899,0,0.3294626129530277,1
847,0,0.2825536300574635,1
84,7,-0.13349451069824425,0
317,9,0.46359247539741155,0
747,3,0.6605974724091879,1
901,0,0.5450145387560693,1
59,0,0.8481162902204589,1
30,0,0.4580473652497091,1
616,0,0.8576851571238981,1
846,9,0.6072141142129146,0
714,0,0.5407811781188131,1
557,2,0.6942479382188639,1
580,2,0.7499802966793819,1
236,4,1.1145251419504936,0
517,8,1.0985092085797166,0
502,0,0.12268366060433267,1
403,6,0.3610436168638156,1
742,6,0.32872954041433533,1
96,0,0.992580011304781,1
408,8,0.999545427530665,1
208,9,0.4183603297835897,0
709,0,0.4444347594050718,1
260,8,0.5118873107353678,0
852,4,0.17684470189252477,1
435,0,0.12795809808485803,1
932,9,0.6952466393885186,0
201,2,0.5696323029801468,1
548,0,0.6132400549165589,1
524,0,0.8243087632729497,1
475,2,0.9356720240917441,1
207,7,0.20308012952558574,0
537,0,0.716353935648054,1
309,6,0.07557689385543886,0
680,0,0.3483721009074364,1
671,0,0.47538838781386633,1
276,0,0.5004150831441373,1
109,0,0.371127292263683,1
850,4,0.24108047920498904,0
144,0,0.7553213406327841,1
939,0,0.2787842557374237,1
588,6,0.5160891165357859,1
514,7,0.4422478080287233,1
423,0,0.08064129934363168,1
351,8,1.1085143427836113,0
970,2,0.3773875544528919,0
919,0,0.076661173751006,1
674,2,0.3093453394257489,1
426,0,0.05509134408243194,1
568,1,1.039149234307759,1
237,0,1.666929029735011,1
215,6,0.6832678167578855,0
221,5,0.41013200786107556,0
722,9,1.0158808427178947,0
12,6,0.20438955570657752,0
527,0,0.5035666831494102,1
604,3,1.2747166751584094,1
462,2,0.310297115200887,1
404,0,-0.1252956691665562,1
779,0,0.4386202140088603,1
650,5,0.6330009054822336,1
57,0,0.838682256885169,1
763,8,0.1863327132373232,0
934,0,0.8850613505854108,1
831,0,0.5533550329785657,1
600,0,1.266434192166435,1
503,0,-0.05713767545565829,1
721,0,1.1962851876311604,1
469,9,0.5915863926004955,0
693,7,0.4271188552859763,1
605,4,0.6110787976701412,1
609,4,1.0182699364345742,1
431,2,1.2589383197642876,1
898,0,0.5111469714120661,1
657,0,-0.1566385836571348,1
230,0,0.4899040425244979,1
190,0,0.5541690975021948,1
316,0,0.8269031915402181,1
490,0,0.4260507699591356,1
339,0,0.6400618714446316,1
960,0,0.8658559068826843,1
161,0,0.18409431498951762,1
441,0,0.33883058760483475,1
691,0,0.8285124801744244,1
353,0,0.13291348068895714,1
437,0,0.736900122507405,1
365,0,0.33015237625819893,1
