phone,restaurant,rating
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
Android,A,4
