ID,AVG_PAY_AMT,DEFAULT
4020,1009.1666666666666,1
27593,1287.5,1
11365,2025.6666666666667,0
29672,2000.0,0
622,505.0,0
5060,696.0,0
7737,1210.3333333333333,1
16347,921.5,1
1554,3024.8333333333335,0
21446,5349.666666666667,0
9421,1936.3333333333333,0
17522,3846.8333333333335,0
7165,1080.6666666666667,1
8508,678.3333333333334,0
13227,5280.666666666667,0
23813,13672.166666666666,0
4432,4032.1666666666665,0
10027,2557.0,0
754,1744.1666666666667,0
17440,5369.5,0
25671,1680.5,0
8943,2573.8333333333335,0
20977,1506.3333333333333,0
8475,23498.833333333332,0
18674,891.6666666666666,0
28321,15064.666666666666,0
17345,11712.833333333334,0
19764,7204.5,0
12691,1091.0,0
11402,8251.0,0
280,4483.333333333333,0
29915,5254.166666666667,0
5122,146.16666666666666,1
27395,3666.6666666666665,0
1179,759.5,0
26614,1020.8333333333334,0
13804,1194.0,1
21843,20029.5,0
16402,1657.0,0
14170,0.0,0
6665,2785.5,0
8682,16984.666666666668,0
16272,16531.0,0
5639,2266.8333333333335,0
19245,3128.3333333333335,0
6159,2075.8333333333335,0
12,11051.333333333334,0
6318,3203.5,0
5752,2242.3333333333335,0
26138,3905.5,0
21072,26246.166666666668,0
27268,898.6666666666666,1
13171,3502.3333333333335,0
7482,645.5,0
13386,3833.6666666666665,0
20836,4056.0,0
17480,7379.333333333333,0
5977,913.5,0
3708,5190.166666666667,0
11386,390.0,0
24575,3660.6666666666665,0
24067,9552.666666666666,0
4970,1666.6666666666667,0
11048,668.0,0
24113,0.0,0
9039,5500.0,0
17127,60.5,0
29638,751.0,0
1011,6973.0,0
13306,396.0,1
12225,1838.6666666666667,1
5292,2500.0,0
4816,1796.0,0
7494,3299.0,0
2632,2083.3333333333335,0
1537,4503.0,0
24202,7324.666666666667,0
6123,1283.3333333333333,1
18676,2858.6666666666665,0
13497,34245.0,0
28964,42285.0,1
17838,1446.3333333333333,0
3013,1266.6666666666667,0
25620,737.6666666666666,1
91,5466.666666666667,1
13092,541.5,0
7502,12524.0,0
21721,1374.8333333333333,0
26603,4315.333333333333,0
20643,1373.3333333333333,0
22121,1106.1666666666667,0
1117,1999.5,1
23666,516.5,0
12344,3666.1666666666665,0
12059,1454.6666666666667,0
19984,1721.0,0
4467,3301.3333333333335,0
4303,6488.166666666667,0
20424,9216.833333333334,0
3293,291.0,0
661,9322.5,0
3140,2000.0,0
28027,2850.6666666666665,0
24005,78.33333333333333,0
18209,9821.166666666666,0
23371,5103.0,0
8639,3008.1666666666665,0
5963,3403.8333333333335,0
7632,1846.8333333333333,0
5906,5000.0,1
335,917.1666666666666,0
2063,1311.3333333333333,0
1165,260.0,0
22652,1242.6666666666667,0
14093,1881.6666666666667,0
27962,152.66666666666666,0
11453,862.6666666666666,1
15613,984.1666666666666,0
7642,1334.3333333333333,0
15719,2409.3333333333335,1
22325,2838.5,0
10687,1665.8333333333333,0
5251,707.3333333333334,0
3457,2766.6666666666665,0
21004,1933.3333333333333,1
3983,416.6666666666667,0
12842,26345.666666666668,0
21806,13239.5,0
2969,4443.666666666667,0
16104,156.0,0
23991,2118.8333333333335,0
15420,1093.6666666666667,0
7202,7074.333333333333,0
26194,3610.1666666666665,0
16647,2606.1666666666665,0
19097,1767.5,0
4459,4257.0,0
9015,1488.5,0
23026,5500.5,0
4683,29636.833333333332,0
580,2813.6666666666665,0
26021,3079.1666666666665,0
16644,401.0,0
24146,3735.0,0
27007,3366.6666666666665,0
17560,586.3333333333334,0
17046,3718.8333333333335,1
1020,0.0,0
2538,0.0,1
21086,9185.0,0
23581,9630.333333333334,0
16731,5918.333333333333,0
23078,0.0,0
23338,3710.8333333333335,0
25921,26393.333333333332,0
5671,0.0,0
17017,2401.8333333333335,0
25883,2383.3333333333335,0
